date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
212,31-07-2021,31,7,July,3,2021,30,Saturday,TRUE
213,01-08-2021,1,8,August,3,2021,30,Sunday,TRUE
214,02-08-2021,2,8,August,3,2021,31,Monday,FALSE
215,03-08-2021,3,8,August,3,2021,31,Tuesday,FALSE
216,04-08-2021,4,8,August,3,2021,31,Wednesday,FALSE
217,05-08-2021,5,8,August,3,2021,31,Thursday,FALSE
218,06-08-2021,6,8,August,3,2021,31,Friday,FALSE
219,07-08-2021,7,8,August,3,2021,31,Saturday,TRUE
220,08-08-2021,8,8,August,3,2021,31,Sunday,TRUE
221,09-08-2021,9,8,August,3,2021,32,Monday,FALSE
222,10-08-2021,10,8,August,3,2021,32,Tuesday,FALSE
223,11-08-2021,11,8,August,3,2021,32,Wednesday,FALSE
224,12-08-2021,12,8,August,3,2021,32,Thursday,FALSE
225,13-08-2021,13,8,August,3,2021,32,Friday,FALSE
226,14-08-2021,14,8,August,3,2021,32,Saturday,TRUE
227,15-08-2021,15,8,August,3,2021,32,Sunday,TRUE
228,16-08-2021,16,8,August,3,2021,33,Monday,FALSE
229,17-08-2021,17,8,August,3,2021,33,Tuesday,FALSE
230,18-08-2021,18,8,August,3,2021,33,Wednesday,FALSE
231,19-08-2021,19,8,August,3,2021,33,Thursday,FALSE
232,20-08-2021,20,8,August,3,2021,33,Friday,FALSE
233,21-08-2021,21,8,August,3,2021,33,Saturday,TRUE
234,22-08-2021,22,8,August,3,2021,33,Sunday,TRUE
235,23-08-2021,23,8,August,3,2021,34,Monday,FALSE
236,24-08-2021,24,8,August,3,2021,34,Tuesday,FALSE
237,25-08-2021,25,8,August,3,2021,34,Wednesday,FALSE
238,26-08-2021,26,8,August,3,2021,34,Thursday,FALSE
239,27-08-2021,27,8,August,3,2021,34,Friday,FALSE
240,28-08-2021,28,8,August,3,2021,34,Saturday,TRUE
241,29-08-2021,29,8,August,3,2021,34,Sunday,TRUE
242,30-08-2021,30,8,August,3,2021,35,Monday,FALSE
243,31-08-2021,31,8,August,3,2021,35,Tuesday,FALSE
244,01-09-2021,1,9,September,3,2021,35,Wednesday,FALSE
245,02-09-2021,2,9,September,3,2021,35,Thursday,FALSE
246,03-09-2021,3,9,September,3,2021,35,Friday,FALSE
247,04-09-2021,4,9,September,3,2021,35,Saturday,TRUE
248,05-09-2021,5,9,September,3,2021,35,Sunday,TRUE
249,06-09-2021,6,9,September,3,2021,36,Monday,FALSE
250,07-09-2021,7,9,September,3,2021,36,Tuesday,FALSE
251,08-09-2021,8,9,September,3,2021,36,Wednesday,FALSE
252,09-09-2021,9,9,September,3,2021,36,Thursday,FALSE
253,10-09-2021,10,9,September,3,2021,36,Friday,FALSE
254,11-09-2021,11,9,September,3,2021,36,Saturday,TRUE
255,12-09-2021,12,9,September,3,2021,36,Sunday,TRUE
256,13-09-2021,13,9,September,3,2021,37,Monday,FALSE
257,14-09-2021,14,9,September,3,2021,37,Tuesday,FALSE
258,15-09-2021,15,9,September,3,2021,37,Wednesday,FALSE
259,16-09-2021,16,9,September,3,2021,37,Thursday,FALSE
260,17-09-2021,17,9,September,3,2021,37,Friday,FALSE
261,18-09-2021,18,9,September,3,2021,37,Saturday,TRUE
262,19-09-2021,19,9,September,3,2021,37,Sunday,TRUE
263,20-09-2021,20,9,September,3,2021,38,Monday,FALSE
264,21-09-2021,21,9,September,3,2021,38,Tuesday,FALSE
265,22-09-2021,22,9,September,3,2021,38,Wednesday,FALSE
266,23-09-2021,23,9,September,3,2021,38,Thursday,FALSE
267,24-09-2021,24,9,September,3,2021,38,Friday,FALSE
268,25-09-2021,25,9,September,3,2021,38,Saturday,TRUE
269,26-09-2021,26,9,September,3,2021,38,Sunday,TRUE
270,27-09-2021,27,9,September,3,2021,39,Monday,FALSE
271,28-09-2021,28,9,September,3,2021,39,Tuesday,FALSE
272,29-09-2021,29,9,September,3,2021,39,Wednesday,FALSE
273,30-09-2021,30,9,September,3,2021,39,Thursday,FALSE
274,01-10-2021,1,10,October,4,2021,39,Friday,FALSE
275,02-10-2021,2,10,October,4,2021,39,Saturday,TRUE
276,03-10-2021,3,10,October,4,2021,39,Sunday,TRUE
277,04-10-2021,4,10,October,4,2021,40,Monday,FALSE
278,05-10-2021,5,10,October,4,2021,40,Tuesday,FALSE
279,06-10-2021,6,10,October,4,2021,40,Wednesday,FALSE
280,07-10-2021,7,10,October,4,2021,40,Thursday,FALSE
281,08-10-2021,8,10,October,4,2021,40,Friday,FALSE
282,09-10-2021,9,10,October,4,2021,40,Saturday,TRUE
283,10-10-2021,10,10,October,4,2021,40,Sunday,TRUE
284,11-10-2021,11,10,October,4,2021,41,Monday,FALSE
285,12-10-2021,12,10,October,4,2021,41,Tuesday,FALSE
286,13-10-2021,13,10,October,4,2021,41,Wednesday,FALSE
287,14-10-2021,14,10,October,4,2021,41,Thursday,FALSE
288,15-10-2021,15,10,October,4,2021,41,Friday,FALSE
289,16-10-2021,16,10,October,4,2021,41,Saturday,TRUE
290,17-10-2021,17,10,October,4,2021,41,Sunday,TRUE
291,18-10-2021,18,10,October,4,2021,42,Monday,FALSE
292,19-10-2021,19,10,October,4,2021,42,Tuesday,FALSE
293,20-10-2021,20,10,October,4,2021,42,Wednesday,FALSE
294,21-10-2021,21,10,October,4,2021,42,Thursday,FALSE
295,22-10-2021,22,10,October,4,2021,42,Friday,FALSE
296,23-10-2021,23,10,October,4,2021,42,Saturday,TRUE
297,24-10-2021,24,10,October,4,2021,42,Sunday,TRUE
298,25-10-2021,25,10,October,4,2021,43,Monday,FALSE
299,26-10-2021,26,10,October,4,2021,43,Tuesday,FALSE
300,27-10-2021,27,10,October,4,2021,43,Wednesday,FALSE
301,28-10-2021,28,10,October,4,2021,43,Thursday,FALSE
302,29-10-2021,29,10,October,4,2021,43,Friday,FALSE
303,30-10-2021,30,10,October,4,2021,43,Saturday,TRUE
304,31-10-2021,31,10,October,4,2021,43,Sunday,TRUE
305,01-11-2021,1,11,November,4,2021,44,Monday,FALSE
306,02-11-2021,2,11,November,4,2021,44,Tuesday,FALSE
